종목코드,종목명,종가,대비,등락률,시가,고가,저가,거래량,거래대금,시가총액,상장주식수
"092220","KEC","797","16","2.05","780","803","780","525734","417993968","160008223377","200763141"
"003620","KG모빌리티","3745","40","1.08","3710","3775","3682","161745","605561246","757894045440","202374912"
"016380","KG스틸","6640","10","0.15","6680","6730","6600","122873","819585065","664059076080","100008897"
"001390","KG케미칼","5130","40","0.79","5110","5190","5060","554983","2848949460","351246175200","68469040"
"033180","KH 필룩스","5310","0","0.00","0","0","0","0","0","138166306200","26020020"
"001940","KISCO홀딩스","28200","-250","-0.88","28450","28700","28000","9391","265069925","399773916000","14176380"
"025000","KPX케미칼","52800","-100","-0.19","52900","53300","52000","18906","990561150","255552000000","4840000"
"092230","KPX홀딩스","73300","-1200","-1.61","74700","75100","73100","5899","434696300","309666551800","4224646"
"000040","KR모터스","428","-4","-0.93","432","438","425","126470","54280669","25736867504","60132868"
"044450","KSS해운","10410","-20","-0.19","10430","10575","10350","84118","878012755","240324010800","23085880"
"030200","KT","58100","1900","3.38","56700","58300","56700","425135","24578698955","14642459898500","252021685"
"033780","KT&G","136400","800","0.59","135000","141000","135000","257589","35333130600","16649324590800","122062497"
"058850","KTcs","2840","-10","-0.35","2850","2865","2835","151800","431987991","121225400000","42685000"
"058860","KTis","2890","-5","-0.17","2895","2910","2885","104709","303385298","100577780000","34802000"
"093050","LF","19070","40","0.21","19030","19270","18950","65717","1258873340","557606800000","29240000"
"003550","LG","82500","-1500","-1.79","83400","84200","82400","199411","16547931450","12973221112500","157251165"
"034220","LG디스플레이","9240","-80","-0.86","9290","9370","9220","776435","7197598650","4620000000000","500000000"
"051900","LG생활건강","329500","500","0.15","329000","331000","327000","38905","12825773250","5146195911500","15618197"
"051905","LG생활건강우","133700","700","0.53","133400","134300","132700","6557","874350300","280729488900","2099697"
"064400","LG씨엔에스","81800","800","0.99","81000","84500","80200","1755449","145204693950","7925270546400","96885948"
"373220","LG에너지솔루션","321500","3500","1.10","316000","326000","315000","390914","125615998750","75231000000000","234000000"
"003555","LG우","65000","-1000","-1.52","65900","66000","64900","7578","494013750","195727935000","3011199"
"032640","LG유플러스","14990","160","1.08","14790","15050","14770","1256720","18795615590","6544804301390","436611361"
"011070","LG이노텍","157300","-600","-0.38","157900","158000","155700","148293","23280174850","3722835931100","23667107"
"066570","LG전자","75300","-100","-0.13","75400","76100","74800","332192","25046487800","12322680394200","163647814"
"066575","LG전자우","38150","0","0.00","38150","38300","38000","40683","1550828275","655645594800","17185992"
"037560","LG헬로비전","2980","-30","-1.00","3010","3040","2975","739785","2222563013","230791657700","77446865"
"051910","LG화학","272000","-2000","-0.73","277000","278500","270500","359580","98883369500","19201117296000","70592343"
"051915","LG화학우","145100","100","0.07","148000","150000","142000","109201","15920576500","1115644880000","7688800"
"079550","LIG넥스원","570000","-21000","-3.55","594000","602000","566000","166692","96647198000","12540000000000","22000000"
"006260","LS","182400","-6100","-3.24","190100","190800","181200","184527","33983932000","5873280000000","32200000"
"010120","LS ELECTRIC","265500","-12500","-4.50","280000","280000","264500","192218","51589867500","7965000000000","30000000"
"000680","LS네트웍스","4150","50","1.22","4130","4225","4065","528556","2189745669","327032516400","78803016"
"229640","LS에코에너지","32650","150","0.46","33100","33200","32400","62338","2031025025","999902299350","30624879"
"108320","LX세미콘","64400","0","0.00","64400","65200","64100","30476","1969682600","1047420920000","16264300"
"001120","LX인터내셔널","31900","300","0.95","31700","32100","31600","152743","4862615000","1236444000000","38760000"
"108670","LX하우시스","33100","-200","-0.60","33350","33650","33100","24467","814747525","296829877000","8967670"
